elevation;Rate of Secrete Keys;Rate of Secrete bits
15;0;0
15.5;0;0
16;0;0
16.5;0;0
17;0;0
17.5;0;0
18;0;0
18.5;0;0
19;0;0
19.5;0;0
20;0;0
20.5;0;0
21;0;0
21.5;0;0
22;0;0
22.5;0;0
23;0;0
23.5;0;0
24;0;0
24.5;0.043897734375;5.61891
25;0.09993203125;12.7913
25.5;0.15721015625;20.1229
26;0.2157078125;27.6106
26.5;0.27540234375;35.2515
27;0.33626953125;43.0425
27.5;0.398284375;50.9804
28;0.461421875;59.062
28.5;0.52565703125;67.2841
29;0.59096484375;75.6435
29.5;0.65731875;84.1368
30;0.72469296875;92.7607
30.5;0.7930625;101.512
31;0.862390625;110.386
31.5;0.9326640625;119.381
32;1.0038515625;128.493
32.5;1.075921875;137.718
33;1.1488515625;147.053
33.5;1.2226015625;156.493
34;1.29715625;166.036
34.5;1.372484375;175.678
35;1.4485546875;185.415
35.5;1.52534375;195.244
36;1.6028125;205.16
36.5;1.6809453125;215.161
37;1.759703125;225.242
37.5;1.8390546875;235.399
38;1.9189765625;245.629
38.5;1.9994375;255.928
39;2.0804140625;266.293
39.5;2.1618671875;276.719
40;2.243765625;287.202
40.5;2.32609375;297.74
41;2.4088046875;308.327
41.5;2.4918828125;318.961
42;2.5752890625;329.637
42.5;2.659;340.352
43;2.742984375;351.102
43.5;2.827203125;361.882
44;2.911640625;372.69
44.5;2.9962578125;383.521
45;3.0810234375;394.371
45.5;3.1659140625;405.237
46;3.250890625;416.114
46.5;3.3359375;427
47;3.421015625;437.89
47.5;3.50609375;448.78
48;3.5911484375;459.667
48.5;3.6761484375;470.547
49;3.7610625;481.416
49.5;3.845859375;492.27
50;3.930515625;503.106
50.5;4.0149921875;513.919
51;4.0992734375;524.707
51.5;4.183328125;535.466
52;4.2671171875;546.191
52.5;4.3506171875;556.879
53;4.4338046875;567.527
53.5;4.5166484375;578.131
54;4.5991171875;588.687
54.5;4.6811875;599.192
55;4.762828125;609.642
55.5;4.8440078125;620.033
56;4.9247109375;630.363
56.5;5.00490625;640.628
57;5.0845625;650.824
57.5;5.1636484375;660.947
58;5.2421484375;670.995
58.5;5.32003125;680.964
59;5.3972734375;690.851
59.5;5.4738515625;700.653
60;5.5497265625;710.365
60.5;5.624890625;719.986
61;5.6993046875;729.511
61.5;5.772953125;738.938
62;5.8458125;748.264
62.5;5.91784375;757.484
63;5.989046875;766.598
63.5;6.059375;775.6
64;6.1288203125;784.489
64.5;6.1973515625;793.261
65;6.264953125;801.914
65.5;6.33159375;810.444
66;6.397265625;818.85
66.5;6.4619296875;827.127
67;6.525578125;835.274
67.5;6.5881875;843.288
68;6.6497265625;851.165
68.5;6.7101953125;858.905
69;6.7695546875;866.503
69.5;6.8277890625;873.957
70;6.884890625;881.266
70.5;6.940828125;888.426
71;6.99559375;895.436
71.5;7.0491640625;902.293
72;7.101515625;908.994
72.5;7.152640625;915.538
73;7.2025234375;921.923
73.5;7.251140625;928.146
74;7.2984765625;934.205
74.5;7.3445234375;940.099
75;7.3892578125;945.825
75.5;7.432671875;951.382
76;7.4747421875;956.767
76.5;7.51546875;961.98
77;7.554828125;967.018
77.5;7.5928125;971.88
78;7.62940625;976.564
78.5;7.66459375;981.068
79;7.698375;985.392
79.5;7.7307265625;989.533
80;7.7616484375;993.491
80.5;7.791125;997.264
81;7.819140625;1000.85
81.5;7.845703125;1004.25
82;7.87078125;1007.46
82.5;7.894375;1010.48
83;7.9165625;1013.32
83.5;7.9371875;1015.96
84;7.95625;1018.4
84.5;7.97390625;1020.66
85;7.99;1022.72
85.5;8.004609375;1024.59
86;8.01765625;1026.26
86.5;8.02921875;1027.74
87;8.03921875;1029.02
87.5;8.04765625;1030.1
88;8.054609375;1030.99
88.5;8.06;1031.68
89;8.06390625;1032.18
89.5;8.066171875;1032.47
90;8.066953125;1032.57
